,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
228,2001,1,21,425.8,125.4,87.4,24.0,30.3,4.4,32.8,22.7
229,2001,2,11,86.6,28.2,83.6,24.5,30.9,4.8,32.4,23.0
230,2001,3,20,297.3,41.1,84.5,24.2,31.8,5.4,33.7,22.7
231,2001,4,18,203.3,68.9,86.0,25.1,31.8,5.3,33.5,23.2
232,2001,5,12,164.9,56.1,85.0,25.7,32.2,6.0,33.5,22.4
233,2001,6,11,137.1,49.6,82.5,25.4,31.4,4.9,33.6,21.5
234,2001,7,9,111.3,44.8,80.8,25.5,32.2,8.1,33.7,23.0
235,2001,8,14,158.3,36.6,83.7,25.2,31.1,4.9,33.7,22.8
236,2001,9,13,162.0,74.3,82.3,25.2,31.6,6.2,33.1,22.8
237,2001,10,20,252.2,77.2,83.7,24.7,31.4,4.4,34.0,22.6
238,2001,11,15,175.3,102.6,84.9,24.7,30.8,3.7,33.2,23.2
239,2001,12,20,609.0,211.1,86.8,24.1,30.7,4.5,33.2,22.2
240,2002,1,11,221.2,83.8,83.6,24.5,30.9,6.9,33.5,23.4
241,2002,2,2,50.8,41.7,80.9,24.5,31.3,7.4,32.5,22.1
242,2002,3,8,55.6,26.4,80.8,25.1,33.0,7.6,34.8,23.5
243,2002,4,13,116.5,39.4,82.3,25.6,33.0,6.6,34.3,23.0
244,2002,5,13,236.6,75.9,82.3,26.1,32.6,6.2,34.1,23.2
245,2002,6,12,83.1,45.8,82.1,26.0,32.1,6.3,33.3,23.7
246,2002,7,11,233.7,69.5,82.7,25.5,31.9,6.8,33.0,22.9
247,2002,8,14,54.2,17.8,79.2,25.6,31.9,6.7,33.6,22.4
248,2002,9,9,124.2,38.9,81.7,25.1,31.7,5.5,33.2,22.0
249,2002,10,7,10.8,3.2,79.8,25.7,33.0,6.2,34.6,24.1
250,2002,11,15,307.2,84.0,85.8,24.5,31.7,4.6,34.0,23.1
251,2002,12,24,255.0,38.6,88.7,24.7,31.3,4.8,33.0,23.0
252,2003,1,20,444.2,194.4,86.9,24.4,30.1,4.7,32.4,23.2
253,2003,2,13,172.9,82.2,85.0,24.4,30.8,5.8,32.6,22.8
254,2003,3,11,154.6,38.3,83.8,25.2,32.3,6.9,33.5,22.8
255,2003,4,20,159.9,42.9,86.7,25.3,32.1,5.1,33.7,23.4
256,2003,5,11,81.8,33.0,81.7,26.5,32.7,5.8,34.3,23.4
257,2003,6,12,50.3,23.2,78.5,26.0,32.7,7.0,34.3,22.4
258,2003,7,14,170.4,30.9,81.7,25.1,31.5,5.6,32.8,22.0
259,2003,8,13,193.6,64.4,83.1,25.5,31.8,6.1,33.1,23.0
260,2003,9,15,205.3,60.0,84.8,24.8,31.2,5.0,32.9,22.4
261,2003,10,21,351.4,56.6,84.9,24.5,31.1,5.1,33.0,22.6
262,2003,11,19,133.8,41.3,87.3,24.7,31.0,4.2,33.0,23.0
263,2003,12,17,273.0,92.1,87.2,24.3,29.9,3.9,32.2,22.3
264,2004,1,13,600.9,177.8,86.7,24.2,30.6,6.7,32.0,22.0
265,2004,2,4,31.9,19.2,80.5,24.7,32.0,7.7,34.0,22.6
266,2004,3,16,269.4,122.8,85.8,24.7,32.2,4.8,33.7,22.2
267,2004,4,9,57.1,18.1,82.3,26.1,33.3,7.0,35.1,24.4
268,2004,5,13,137.6,73.4,82.1,26.4,32.8,6.0,34.3,23.6
269,2004,6,8,127.2,68.1,79.8,26.1,32.4,6.3,33.7,22.5
270,2004,7,20,166.6,34.3,85.3,24.5,30.8,4.2,32.9,21.1
271,2004,8,8,185.2,111.5,80.3,25.4,31.7,7.3,33.5,22.1
272,2004,9,14,128.9,29.1,83.6,25.0,31.7,5.9,33.1,23.4
273,2004,10,13,125.6,25.3,83.9,25.0,31.6,5.0,34.2,23.2
274,2004,11,15,166.2,62.4,86.1,24.6,31.4,5.8,32.5,22.8
275,2004,12,14,139.8,36.4,85.2,24.5,30.1,4.9,32.7,23.0
276,2005,1,8,163.2,96.7,83.3,23.9,30.2,6.5,32.4,22.5
277,2005,2,3,8.4,7.2,77.7,25.3,33.4,9.1,34.7,23.5
